gs_row,outcome,study_id,title,main_aim_of_study,intervention,intervention_type,intervention_grouping,arm,ad_class,ad_dose_numerical_fixed_amount_range_or_mean_dose,ad_dose_categorised,dose_schedule,length_of_study_start_to_post_intervention,pain_condition,general_pain_grouping,iasp_pain_grouping,minimum_pain_inclusion,design,imputation_method,scale,timepoint,follow_up_timepoint,mean,sd,se,median,ci_lower,ci_upper,iqr_lower,iqr_higher,n,r,r_percent,change_score,adverse_events_definition,stats_notes,study_notes,date_checked,remove_row_for_mood_analysis,intervention_category,direction_of_improvement,outcome_nma,outcome_label,model_type,model_text,outcome_all,time_no_change
2,pain_int,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac pain subscale,baseline,NA,8.9,5.9,0.4916666666666667,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
3,pain_int,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac pain subscale,baseline,NA,9.1,4.6,0.3833333333333333,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
4,pain_int,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac pain subscale,post_int,NA,8.4,5.4,0.45,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
5,pain_int,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac pain subscale,post_int,NA,6,4.1,0.3416666666666666,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
6,physical,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac total score,baseline,NA,33.5,7.1,0.5916666666666667,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,higher,physical,physical functioning,smd,standardised mean diference,physical,baseline
7,physical,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac total score,baseline,NA,33.1,7.5,0.625,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,higher,physical,physical functioning,smd,standardised mean diference,physical,baseline
8,physical,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac total score,post_int,NA,30.3,9.8,0.8166666666666668,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,higher,physical,physical functioning,smd,standardised mean diference,physical,post_int
9,physical,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,womac total score,post_int,NA,24.6,8.4,0.7000000000000001,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,higher,physical,physical functioning,smd,standardised mean diference,physical,post_int
10,mood,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,geriatric depression scale,baseline,NA,9.8,2.5,0.20833333333333334,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,mood,mood,smd,standardised mean diference,mood_depression,baseline
11,mood,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,geriatric depression scale,baseline,NA,9.9,2.7,0.225,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_depression,baseline
