Outcome,Study ID,Title,Main aim of study,Intervention,Intervention type,Intervention grouping,Arm,AD class,"AD dose numerical (fixed amount, range or mean dose)",AD dose categorised,Dose schedule,Length of study (start to post-intervention),Pain condition,General pain grouping,IASP pain grouping,Minimum pain inclusion?,Design,Imputation method,Scale,Timepoint,Follow up timepoint,mean,sd,se,median,ci lower,ci upper,iqr lower,iqr higher,n,r,r%,Change score,Adverse events definition,Stats notes,Study notes,Date checked,Remove row for mood analysis,Funded by pharma?,Sequence generation,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessors,Incomplete outcome data,Selective outcome reporting,Other sources of bias
pain_int,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC pain subscale,Baseline,NA,8.9,5.9,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
pain_int,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC pain subscale,Baseline,NA,9.1,4.6,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
pain_int,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC pain subscale,Post_int,NA,8.4,5.4,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
pain_int,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC pain subscale,Post_int,NA,6,4.1,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
physical,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC total score,Baseline,NA,33.5,7.1,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
physical,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC total score,Baseline,NA,33.1,7.5,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
physical,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC total score,Post_int,NA,30.3,9.8,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
physical,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,WOMAC total score,Post_int,NA,24.6,8.4,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
mood_depression,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Geriatric depression scale,Baseline,NA,9.8,2.5,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
mood_depression,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Geriatric depression scale,Baseline,NA,9.9,2.7,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
